1-31,CP3,C3,F5,PO3,PO4,F6,C4,CP4,Marker
23.0,-97145.3828125,509324.0625,509806.65625,509828.59375,509677.96875,509798.625,509591.40625,-85150.34375,0
25.0,-96309.9453125,519325.6875,519807.6875,519832.4375,519677.875,519797.4375,519594.78125,-84609.078125,0
26.0,-97396.2421875,510076.28125,510558.75,510580.40625,510429.28125,510550.03125,510343.5625,-86222.359375,0
27.0,-97398.65625,507697.65625,508180.375,508201.375,508051.8125,508171.9375,507964.65625,-85649.703125,0
29.0,-96083.703125,520546.03125,521027.46875,521053.03125,520897.46875,521017.15625,520815.78125,-84154.4453125,0
30.0,-97103.0703125,512591.46875,513073.9375,513096.25,512943.5,513064.40625,512859.09375,-85899.1484375,0
31.0,-97518.8203125,507002.875,507485.75,507505.65625,507356.34375,507477.15625,507269.03125,-85997.0546875,0
0.0,-96539.40625,513663.34375,514145.53125,514168.34375,514016.0625,514136.28125,513931.5625,-84219.421875,0
1.0,-95960.7890625,520747.125,521228.84375,521254.0625,521097.96875,521217.84375,521016.28125,-83792.8828125,0
3.0,-97559.65625,507294.15625,507776.6875,507797.625,507647.75,507767.71875,507559.90625,-86230.46875,0
4.0,-96840.5546875,511057.78125,511539.84375,511562.5,511411.375,511530.90625,511325.0625,-84703.6875,0
6.0,-96446.671875,517824.125,518305.09375,518329.125,518174.6875,518294.4375,518092.21875,-84939.9296875,0
7.0,-97459.0,508569.5625,509052.03125,509073.0,508922.0625,509042.625,508835.96875,-86267.7578125,0
8.0,-97129.6953125,508889.40625,509371.6875,509393.65625,509243.125,509363.625,509156.21875,-85218.9453125,0
9.0,-96056.34375,518120.71875,518601.6875,518626.78125,518472.34375,518592.09375,518389.59375,-83671.2421875,0
10.0,-96171.875,519710.78125,520191.84375,520216.71875,520061.625,520180.84375,519979.53125,-84431.8515625,0
11.0,-97274.3359375,510643.4375,511125.03125,511146.96875,510995.96875,511115.78125,510909.78125,-86105.6796875,0
12.0,-97396.375,507463.8125,507946.21875,507967.0,507817.40625,507937.5625,507729.75,-85702.609375,0
14.0,-96033.2109375,520702.875,521184.46875,521209.59375,521054.03125,521173.34375,520972.5,-84040.71875,0
17.0,-96607.8046875,513038.59375,513520.59375,513543.84375,513391.5,513511.125,513306.625,-84327.84375,0
19.0,-96702.484375,515933.96875,516416.03125,516439.4375,516286.21875,516405.90625,516202.59375,-85341.71875,0
20.0,-97553.8828125,507509.21875,507992.15625,508012.9375,507863.34375,507982.90625,507775.4375,-86262.5234375,0
21.0,-96922.765625,510501.5,510984.5,511006.21875,510855.46875,510975.03125,510768.96875,-84837.3984375,0
22.0,-95972.859375,519538.71875,520019.90625,520045.1875,519891.03125,520009.78125,519807.8125,-83651.1953125,0
23.0,-96388.8046875,518322.28125,518803.125,518828.125,518673.65625,518793.53125,518591.09375,-84839.2734375,0
25.0,-97204.796875,508482.84375,508965.59375,508986.4375,508836.25,508956.59375,508749.59375,-85366.6015625,0
26.0,-96115.8203125,517580.90625,518062.71875,518086.84375,517932.40625,518052.4375,517849.65625,-83755.265625,0
27.0,-96150.421875,520020.71875,520501.96875,520526.65625,520371.28125,520490.90625,520289.125,-84377.6015625,0
28.0,-97241.2734375,511211.8125,511694.0,511715.59375,511563.90625,511683.75,511477.875,-86095.828125,0
29.0,-97456.859375,507258.15625,507741.21875,507762.5625,507612.46875,507732.4375,507524.09375,-85845.375,0
30.0,-96394.03125,515077.9375,515559.71875,515583.53125,515430.53125,515550.28125,515346.03125,-84059.2265625,0
0.0,-96976.8125,513863.375,514345.15625,514367.75,514215.46875,514335.3125,514131.0625,-85757.9296875,0
1.0,-97588.21875,507036.28125,507519.0625,507539.125,507389.84375,507510.625,507302.5,-86201.9765625,0
2.0,-96724.0078125,512417.1875,512899.125,512921.59375,512770.375,512890.53125,512684.875,-84529.6796875,0
3.0,-95999.28125,520451.0,520931.71875,520957.28125,520802.25,520921.53125,520720.25,-83811.25,0
4.0,-96684.6484375,516529.15625,517010.75,517034.28125,516880.84375,517000.09375,516797.25,-85325.15625,0
6.0,-97049.09375,509997.4375,510480.90625,510501.90625,510351.28125,510471.1875,510264.84375,-85036.6875,0
7.0,-96070.0859375,519153.21875,519635.15625,519659.625,519504.9375,519624.09375,519422.59375,-83743.328125,0
9.0,-97473.890625,509493.90625,509975.90625,509997.5625,509846.375,509966.1875,509760.0625,-86320.5234375,0
10.0,-97336.4921875,508142.09375,508625.03125,508645.8125,508495.71875,508615.5,508408.21875,-85563.140625,0
12.0,-96178.3828125,520310.875,520792.375,520816.78125,520661.90625,520780.375,520579.8125,-84359.09375,0
13.0,-97244.09375,511859.21875,512341.28125,512363.15625,512211.53125,512331.03125,512125.96875,-86100.71875,0
14.0,-97549.53125,507168.96875,507651.25,507672.15625,507522.75,507642.0625,507434.65625,-86010.328125,0
18.0,-97614.90625,507171.46875,507654.0625,507675.03125,507525.25,507645.34375,507437.8125,-86276.0703125,0
19.0,-96806.15625,511843.125,512325.46875,512348.125,512196.03125,512316.59375,512110.6875,-84651.5859375,0
20.0,-95992.171875,520258.4375,520740.09375,520764.6875,520609.0625,520728.8125,520527.4375,-83776.65625,0
21.0,-96583.796875,517153.78125,517635.625,517659.375,517504.8125,517624.6875,517421.9375,-85187.8984375,0
22.0,-97526.390625,508170.78125,508653.375,508674.4375,508523.75,508644.3125,508437.0625,-86348.15625,0
24.0,-96080.2109375,518736.0625,519217.0,519241.875,519087.4375,519206.65625,519004.84375,-83769.140625,0
25.0,-96292.9140625,519256.96875,519738.09375,519763.21875,519607.9375,519727.46875,519525.90625,-84672.5078125,0
26.0,-97375.3828125,510033.03125,510515.4375,510536.75,510385.9375,510506.1875,510299.25,-86254.8125,0
27.0,-97359.625,507863.59375,508346.8125,508367.3125,508217.1875,508337.875,508129.6875,-85651.515625,0
29.0,-96088.8671875,520536.90625,521018.03125,521043.1875,520887.40625,521006.84375,520806.0625,-84212.9140625,0
30.0,-97111.2578125,512498.25,512979.59375,513002.375,512849.6875,512969.71875,512764.8125,-85948.3046875,0
31.0,-97496.7578125,507102.40625,507584.84375,507605.84375,507455.375,507576.0625,507368.0625,-86009.4609375,0
0.0,-96511.4453125,513868.0625,514350.0,514373.1875,514220.71875,514340.59375,514136.03125,-84251.9375,0
1.0,-95949.390625,520781.125,521262.09375,521287.53125,521131.96875,521251.5,521050.34375,-83870.328125,0
3.0,-97551.671875,507342.90625,507826.125,507847.03125,507695.96875,507817.1875,507609.25,-86254.0078125,0
5.0,-95952.5390625,519988.34375,520470.53125,520495.0,520339.75,520459.25,520257.96875,-83716.90625,0
6.0,-96479.1953125,517721.1875,518203.25,518226.84375,518072.625,518192.25,517990.28125,-85035.0078125,0
