1-31,CP3,C3,F5,PO3,PO4,F6,C4,CP4,Marker
31.0,-165290.390625,504821.5,505321.125,24215.654296875,505167.78125,505283.78125,505073.4375,-149565.671875,0
1.0,-158159.40625,498419.34375,498917.09375,-8678.890625,498764.625,498880.6875,498669.59375,-141666.296875,0
2.0,-161583.921875,487263.15625,487760.125,-46709.93359375,487611.71875,487729.34375,487511.53125,-145322.359375,0
3.0,-165233.59375,499600.1875,500099.625,4586.64453125,499947.71875,500064.28125,499851.84375,-149456.78125,0
4.0,-163127.1875,513749.78125,514249.0625,54773.45703125,514093.15625,514208.84375,514003.84375,-147223.765625,0
5.0,-158529.34375,503599.5625,504098.3125,11117.9580078125,503943.40625,504060.375,503850.875,-142098.609375,0
7.0,-164768.703125,494587.125,495087.03125,-15057.787109375,494935.03125,495052.90625,494837.65625,-148894.046875,0
8.0,-164207.78125,511959.9375,512460.3125,49584.859375,512304.40625,512420.8125,512214.5625,-148425.796875,0
9.0,-159419.5,508362.03125,508861.25,30021.763671875,508705.28125,508821.875,508614.875,-143117.90625,0
10.0,-158966.21875,490679.03125,491176.71875,-36771.0078125,491026.03125,491143.84375,490927.65625,-142520.3125,0
13.0,-160672.90625,511936.75,512436.78125,44927.87109375,512279.59375,512395.8125,512190.6875,-144534.25,0
14.0,-158241.078125,494741.09375,495239.78125,-22322.6171875,495086.78125,495205.0625,494991.21875,-141762.125,0
15.0,-162603.484375,487961.625,488459.90625,-42818.31640625,488310.625,488428.71875,488210.125,-146471.546875,0
16.0,-165237.21875,503551.21875,504051.90625,19545.390625,503898.21875,504014.6875,503803.53125,-149520.6875,0
18.0,-158115.625,499722.28125,500221.0625,-3689.5126953125,500066.8125,500183.625,499972.6875,-141654.4375,0
19.0,-161152.21875,487329.09375,487826.625,-46884.07421875,487677.4375,487795.65625,487577.53125,-144887.5,0
20.0,-165083.859375,498364.6875,498864.46875,-206.53009033203125,498712.09375,498829.0625,498615.75,-149314.484375,0
21.0,-163319.578125,513525.8125,514025.65625,54394.39453125,513869.34375,513985.75,513780.03125,-147483.875,0
22.0,-158614.84375,504869.53125,505368.625,16097.7470703125,505212.96875,505330.125,505121.1875,-142246.0,0
25.0,-164343.90625,511233.34375,511734.03125,47154.171875,511578.0625,511694.28125,511487.59375,-148612.078125,0
26.0,-159636.765625,509385.625,509884.90625,34145.86328125,509729.0,509845.21875,509639.375,-143389.421875,0
29.0,-164986.765625,507287.65625,507787.84375,33257.24609375,507633.0,507749.28125,507540.875,-149277.265625,0
30.0,-160961.4375,512581.6875,513081.15625,47715.89453125,512924.65625,513040.28125,512835.6875,-144849.015625,0
0.0,-162185.203125,487647.78125,488145.6875,-44487.3203125,487996.5625,488114.15625,487896.21875,-146012.8125,0
1.0,-165177.203125,502306.75,502807.25,14786.8837890625,502654.09375,502770.5,502559.1875,-149446.25,0
2.0,-162327.484375,513912.65625,514412.96875,54525.15234375,514256.84375,514372.0625,514167.59375,-146373.4375,0
3.0,-158135.265625,501004.875,501503.875,1116.4024658203125,501350.1875,501466.1875,501256.25,-141685.078125,0
4.0,-160753.765625,487467.875,487964.75,-46806.359375,487816.25,487933.65625,487715.84375,-144450.359375,0
7.0,-158784.828125,506076.1875,506575.34375,20803.078125,506420.03125,506536.375,506328.1875,-142430.734375,0
8.0,-159403.078125,489203.8125,489701.5625,-41764.8125,489551.5625,489669.3125,489452.0625,-143005.734375,0
9.0,-164199.8125,492482.875,492982.78125,-23542.75390625,492831.375,492949.1875,492732.3125,-148293.84375,0
11.0,-159876.828125,510337.9375,510838.1875,38063.4296875,510682.0625,510797.59375,510592.21875,-143662.40625,0
12.0,-158416.703125,492583.71875,493082.21875,-30107.86328125,492930.21875,493048.03125,492833.65625,-141953.5625,0
14.0,-164989.78125,506175.03125,506675.4375,29166.7421875,506520.96875,506637.3125,506428.09375,-149296.71875,0
16.0,-157991.4375,497168.375,497666.84375,-13484.5380859375,497514.03125,497630.96875,497419.09375,-141528.703125,0
