1-31,CP3,C3,F5,PO3,PO4,F6,C4,CP4,Marker
20.0,-29538.02734375,11910.0810546875,255204.0,-51512.29296875,143141.3125,-94702.96875,3218.04736328125,993.2219848632812,0
21.0,-29345.84765625,14803.044921875,270630.46875,-41631.37109375,153530.78125,-80240.0234375,4190.95166015625,5199.06005859375,0
22.0,-29634.453125,12541.47265625,268611.375,-44330.74609375,150751.546875,-80529.703125,3021.977783203125,2846.561279296875,0
23.0,-29861.501953125,9494.6171875,253912.59375,-53932.046875,140646.859375,-94590.8515625,1864.4034423828125,-1522.4888916015625,0
24.0,-29648.06640625,10852.955078125,251858.484375,-53887.58984375,140637.734375,-97523.9140625,2732.634521484375,-373.6317138671875,0
25.0,-29338.203125,14519.2666015625,267352.875,-43392.98046875,151652.640625,-83467.0625,4148.505859375,4601.2626953125,0
26.0,-29540.107421875,13489.09765625,271209.09375,-42259.140625,152898.515625,-78349.40625,3442.34716796875,4000.581787109375,0
27.0,-29840.3125,10012.5517578125,257624.296875,-51666.7890625,143022.765625,-90767.2265625,2010.3826904296875,-663.9808349609375,0
28.0,-29760.248046875,9984.92578125,250105.328125,-55396.9375,139053.15625,-98835.1796875,2307.437255859375,-1386.7691650390625,0
29.0,-29400.498046875,13815.65625,263073.9375,-46023.21875,148872.921875,-87446.921875,3914.214599609375,3504.037841796875,0
30.0,-29460.982421875,14284.3720703125,272507.28125,-40971.6796875,154213.34375,-77544.3359375,3813.8330078125,4851.78076171875,0
31.0,-29785.193359375,10834.783203125,261863.59375,-48892.6484375,145913.109375,-86576.078125,2302.072998046875,507.87628173828125,0
0.0,-29818.587890625,9468.6005859375,250134.4375,-55752.8671875,138659.75,-98482.1328125,2001.46435546875,-1907.654052734375,0
4.0,-29820.0625,9422.8681640625,253344.765625,-51919.5859375,142240.21875,-94153.1796875,1848.3773193359375,-1802.57861328125,0
5.0,-29541.11328125,11855.2294921875,256418.78125,-48479.65234375,145790.734375,-92250.9609375,3101.90771484375,853.8812255859375,0
6.0,-29331.23046875,14890.7529296875,272144.4375,-38287.86328125,156491.46875,-77587.7265625,4166.4091796875,5237.54931640625,0
