EEG Channel 1,EEG Channel 2,EEG Channel 3,EEG Channel 4,EEG Channel 5,EEG Channel 6,EEG Channel 7,EEG Channel 8,Marker
-32002.375,24199.76171875,194540.625,12673.236328125,117322.234375,300018.5625,-17827.5703125,-21439.03125,0.0
-31710.953125,25818.609375,198430.6875,15089.83984375,119983.4609375,302657.375,-17525.017578125,-20414.427734375,0.0
-31621.3671875,26915.095703125,205806.765625,17297.767578125,122687.125,309311.40625,-17412.029296875,-19752.255859375,0.0
-31885.36328125,25449.73828125,202754.890625,15197.865234375,120419.3828125,307777.71875,-17681.322265625,-20657.30078125,0.0
-32028.056640625,24176.158203125,195459.015625,12768.455078125,117502.1484375,301033.5625,-17848.625,-21455.32421875,0.0
-31800.60546875,25226.2421875,196235.984375,14102.5859375,118855.0546875,300936.0625,-17602.265625,-20769.349609375,0.0
-31570.47265625,26938.431640625,204589.78125,17161.98046875,122454.2421875,308005.90625,-17360.6640625,-19713.69921875,0.0
-31776.935546875,25978.400390625,204471.703125,16010.306640625,121320.3359375,309094.15625,-17561.62890625,-20306.267578125,0.0
-31991.646484375,24367.734375,197086.03125,13174.2734375,117997.078125,302672.40625,-17812.68359375,-21324.3671875,0.0
-31869.068359375,24718.970703125,194748.765625,13335.8095703125,117972.1328125,299842.59375,-17677.232421875,-21084.173828125,0.0
-31576.3046875,26700.5859375,202559.015625,16695.208984375,121845.109375,306119.5625,-17365.693359375,-19856.259765625,0.0
-31708.60546875,26428.005859375,205582.0,16702.31640625,122071.0234375,309754.71875,-17475.6640625,-20024.298828125,0.0
-31974.2109375,24678.0,199053.96875,13785.146484375,118739.4453125,304557.3125,-17776.138671875,-21113.478515625,0.0
-31956.0390625,24359.21875,194203.265625,12818.142578125,117432.4765625,299587.71875,-17760.849609375,-21305.255859375,0.0
-31636.72265625,26270.830078125,200163.40625,15866.6748046875,120867.3125,304082.15625,-17430.8046875,-20113.953125,0.0
-31632.029296875,26801.236328125,205977.625,17213.009765625,122606.0546875,309732.03125,-17407.267578125,-19794.232421875,0.0
-31909.16796875,25122.642578125,201154.875,14603.6220703125,119704.171875,306442.03125,-17704.189453125,-20833.857421875,0.0
