1-31,CP3,C3,F5,PO3,PO4,F6,C4,CP4,Marker
11.0,-8403.830078125,-5626.73828125,-7544.18212890625,-1033.924560546875,-816.933837890625,-4949.078125,22922.359375,-33002.5703125,0
12.0,-8282.5947265625,-961.1025390625,-4043.43017578125,106.81897735595703,460.9376220703125,-1630.85009765625,24372.96484375,-32975.8828125,0
13.0,-8300.8330078125,1626.357421875,-2249.568603515625,11.3323335647583,451.7510681152344,-133.23873901367188,24514.25,-32978.23046875,0
14.0,-8425.3544921875,-2713.32275390625,-5609.03564453125,-1161.4635009765625,-830.2777709960938,-3169.633544921875,23091.673828125,-33002.50390625,0
15.0,-8434.4072265625,-5942.3671875,-7827.08837890625,-1312.7401123046875,-1091.72607421875,-5216.02490234375,22677.138671875,-33006.99609375,0
16.0,-8315.18359375,-2413.585693359375,-5105.7861328125,-167.7051239013672,152.28240966796875,-2595.17138671875,24017.908203125,-32980.91015625,0
17.0,-8282.9970703125,1712.322265625,-2101.7119140625,177.96456909179688,627.56982421875,32.92411422729492,24703.01171875,-32973.8046875,0
18.0,-8399.60546875,-1198.5450439453125,-4447.57177734375,-878.4234619140625,-496.67803955078125,-2124.242431640625,23481.466796875,-32999.015625,0
19.0,-8445.13671875,-5686.685546875,-7697.470703125,-1409.031494140625,-1172.0582275390625,-5110.41259765625,22578.767578125,-33007.265625,0
20.0,-8345.291015625,-3853.261474609375,-6201.8037109375,-471.19708251953125,-194.59426879882812,-3616.42236328125,23587.81640625,-32988.2890625,0
21.0,-8275.017578125,1147.247802734375,-2504.043212890625,235.0956268310547,656.8729858398438,-262.9235534667969,24715.1484375,-32976.484375,0
22.0,-8377.947265625,112.11634063720703,-3442.548095703125,-614.628173828125,-202.77500915527344,-1185.4022216796875,23878.43359375,-33005.38671875,0
23.0,-8470.416015625,-5007.6171875,-7238.8798828125,-1465.089599609375,-1208.134033203125,-4655.5771484375,22618.666015625,-33028.3203125,0
24.0,-8401.349609375,-5062.53564453125,-7083.982421875,-861.1232299804688,-626.228759765625,-4443.01220703125,23174.28515625,-33018.328125,0
25.0,-8300.69921875,71.68203735351562,-3265.5224609375,189.36395263671875,581.7711181640625,-905.3126220703125,24556.427734375,-33001.36328125,0
26.0,-8357.361328125,1121.0963134765625,-2628.698974609375,-306.7106018066406,135.18333435058594,-447.05718994140625,24240.8671875,-33015.84765625,0
27.0,-8475.1103515625,-3852.52392578125,-6399.34814453125,-1412.9876708984375,-1115.262451171875,-3856.8154296875,22814.66796875,-33044.2109375,0
28.0,-8441.984375,-5759.30615234375,-7650.19677734375,-1152.2769775390625,-936.6944580078125,-5000.978515625,22831.5,-33034.890625,0
29.0,-8323.9677734375,-1300.5361328125,-4287.91357421875,-14.014542579650879,335.5443420410156,-1807.205322265625,24273.388671875,-33011.01953125,0
30.0,-8336.037109375,1672.9608154296875,-2178.624267578125,-45.932830810546875,410.9144287109375,-13.947486877441406,24538.591796875,-33019.265625,0
31.0,-8462.4365234375,-2392.731689453125,-5352.4150390625,-1177.6239013671875,-815.123291015625,-2901.41259765625,23138.6796875,-33044.8828125,0
0.0,-8467.5322265625,-5925.87158203125,-7854.916015625,-1324.40771484375,-1084.75244140625,-5228.6982421875,22613.435546875,-33036.30078125,0
1.0,-8343.1455078125,-2768.106689453125,-5401.56640625,-233.4192352294922,85.96479797363281,-2838.04541015625,23896.068359375,-33004.3125,0
2.0,-8302.5771484375,1610.1971435546875,-2181.708740234375,164.68763732910156,615.835205078125,4.559755325317383,24695.701171875,-33002.16796875,0
3.0,-8424.0810546875,-912.4204711914062,-4235.14111328125,-869.505126953125,-472.06878662109375,-1894.51123046875,23537.591796875,-33037.4375,0
4.0,-8482.75390625,-5575.91015625,-7648.72119140625,-1450.8739013671875,-1210.9503173828125,-5039.33447265625,22534.17578125,-33049.84375,0
5.0,-8378.6171875,-4127.517578125,-6438.97802734375,-545.0919189453125,-277.07220458984375,-3828.249755859375,23467.65234375,-33020.67578125,0
