1-31,CP3,C3,F5,PO3,PO4,F6,C4,CP4,Marker
0.0,-6395.5263671875,411.9202575683594,-2460.792724609375,-61.62375259399414,202.1715087890625,-526.5176391601562,29324.45703125,-30900.5234375,0
1.0,-6443.26953125,764.6307373046875,-2299.591796875,-486.4186096191406,-195.86831665039062,-453.5615539550781,28997.294921875,-30910.71484375,0
2.0,-6523.0654296875,-3953.710205078125,-5818.44873046875,-1345.865478515625,-1190.9678955078125,-3508.86572265625,27976.513671875,-30924.259765625,0
3.0,-6492.287109375,-5173.04248046875,-6619.7587890625,-1051.56005859375,-959.2249755859375,-4229.5751953125,28093.859375,-30914.3359375,0
4.0,-6405.4501953125,-789.3740844726562,-3358.05859375,-167.57101440429688,46.6033821105957,-1270.093017578125,29162.98828125,-30894.890625,0
5.0,-6418.59326171875,1417.078125,-1784.7418212890625,-251.9935302734375,35.136940002441406,11.734664916992188,29250.294921875,-30895.494140625,0
6.0,-6513.74462890625,-2699.174072265625,-4903.01123046875,-1171.857177734375,-994.4960327148438,-2685.62890625,28200.41015625,-30920.572265625,0
7.0,-6514.68359375,-5535.87841796875,-6891.3994140625,-1258.9619140625,-1185.335205078125,-4482.4404296875,27902.88671875,-30920.4375,0
8.0,-6424.494140625,-2178.423095703125,-4396.00634765625,-333.7338562011719,-168.7779998779297,-2188.6826171875,28886.18359375,-30899.71875,0
9.0,-6406.724609375,1488.4248046875,-1692.071533203125,-111.11051177978516,160.865478515625,111.78105926513672,29372.736328125,-30900.12109375,0
10.0,-6509.38623046875,-1386.9703369140625,-3911.934814453125,-1002.9450073242188,-791.9892578125,-1811.56396484375,28457.701171875,-30933.044921875,0
11.0,-6538.95751953125,-5398.88427734375,-6793.36474609375,-1415.9381103515625,-1334.868408203125,-4388.7646484375,27814.0390625,-30934.185546875,0
12.0,-6446.890625,-3513.827880859375,-5337.998046875,-638.4998779296875,-516.5264282226562,-3011.114990234375,28582.22265625,-30900.65625,0
13.0,-6391.3017578125,1063.0264892578125,-1968.540283203125,-54.515899658203125,207.3347625732422,-73.55958557128906,29404.119140625,-30886.91015625,0
14.0,-6464.92822265625,-90.72572326660156,-2935.4765625,-709.4442749023438,-459.3953552246094,-970.0879516601562,28779.431640625,-30902.53515625,0
15.0,-6526.88720703125,-4747.44287109375,-6353.5498046875,-1386.7020263671875,-1275.6585693359375,-4004.470947265625,27875.39453125,-30915.611328125,0
16.0,-6473.17626953125,-4598.11083984375,-6169.48291015625,-847.6450805664062,-747.062255859375,-3819.13037109375,28302.400390625,-30901.4609375,0
17.0,-6395.66015625,119.82769012451172,-2672.284912109375,-96.82774353027344,149.73431396484375,-683.2257080078125,29320.43359375,-30885.501953125,0
18.0,-6437.7041015625,874.9365844726562,-2196.326904296875,-487.8267517089844,-194.4601593017578,-337.5559997558594,29068.306640625,-30898.9140625,0
22.0,-6486.11767578125,-5470.1640625,-6880.4697265625,-1210.1456298828125,-1095.883544921875,-4455.95361328125,27999.916015625,-30882.552734375,0
23.0,-6395.1240234375,-1702.3310546875,-4111.82666015625,-277.6756896972656,-56.058170318603516,-1845.9632568359375,29046.580078125,-30860.9609375,0
24.0,-6388.75341796875,1482.32275390625,-1813.106201171875,-150.94131469726562,178.0986785888672,112.51866912841797,29392.71875,-30865.251953125,0
25.0,-6480.619140625,-1887.13525390625,-4344.03857421875,-1097.7611083984375,-851.26611328125,-2132.356201171875,28405.8671875,-30887.984375,0
27.0,-6413.56396484375,-3089.234130859375,-5113.69873046875,-509.5526428222656,-323.94378662109375,-2783.730712890625,28741.009765625,-30866.794921875,0
28.0,-6370.7158203125,1224.227294921875,-1997.9775390625,11.667609214782715,335.61138916015625,-48.950313568115234,29461.384765625,-30856.802734375,0
29.0,-6452.2548828125,-564.1356201171875,-3381.05859375,-789.3740844726562,-494.93463134765625,-1301.676025390625,28723.171875,-30877.58984375,0
30.0,-6514.54931640625,-5046.6435546875,-6603.12939453125,-1413.859375,-1264.9298095703125,-4249.5576171875,27881.025390625,-30899.650390625,0
31.0,-6455.8759765625,-4296.02734375,-5987.4951171875,-791.5198974609375,-635.616455078125,-3635.197998046875,28430.8125,-30885.771484375,0
0.0,-6377.48828125,441.1563415527344,-2499.81884765625,-55.92405700683594,243.2093048095703,-457.5177917480469,29418.87109375,-30860.087890625,0
1.0,-6420.80615234375,529.6021728515625,-2497.20361328125,-536.6429443359375,-215.04611206054688,-528.328125,29035.248046875,-30863.84375,0
2.0,-6491.2138671875,-4143.94580078125,-5939.81884765625,-1335.069580078125,-1150.7347412109375,-3650.62060546875,28007.89453125,-30874.037109375,0
3.0,-6451.98681640625,-5128.85302734375,-6547.607421875,-1028.224853515625,-900.7528686523438,-4198.193359375,28186.931640625,-30861.162109375,0
4.0,-6367.22900390625,-705.689208984375,-3303.20751953125,-143.16290283203125,116.27375793457031,-1161.6646728515625,29261.759765625,-30848.15234375,0
5.0,-6389.96044921875,1237.0347900390625,-1936.957275390625,-293.63482666015625,37.21564865112305,-29.839574813842773,29274.3671875,-30857.541015625,0
6.0,-6480.55224609375,-2943.79150390625,-5061.73095703125,-1218.25927734375,-1000.1957397460938,-2838.581787109375,28200.947265625,-30879.19921875,0
7.0,-6470.29296875,-5516.365234375,-6833.59814453125,-1266.0697021484375,-1141.615234375,-4501.01513671875,27979.53125,-30875.98046875,0
8.0,-6379.23193359375,-2013.400146484375,-4236.14697265625,-350.765869140625,-126.46615600585938,-1998.8492431640625,29006.01171875,-30852.51171875,0
9.0,-6366.62548828125,1433.8419189453125,-1732.1705322265625,-175.01414489746094,158.8538360595703,190.97328186035156,29432.68359375,-30853.583984375,0
10.0,-6461.17333984375,-1619.9871826171875,-4088.156005859375,-1047.603759765625,-786.6248779296875,-1946.546142578125,28471.1796875,-30878.931640625,0
11.0,-6484.642578125,-5431.40625,-6808.78759765625,-1377.18017578125,-1247.294189453125,-4496.65625,27875.728515625,-30875.310546875,0
12.0,-6401.96337890625,-3362.283203125,-5240.16455078125,-589.4154052734375,-405.8182373046875,-2942.852783203125,28692.05859375,-30853.986328125,0
13.0,-6353.3486328125,1084.9534912109375,-1999.5867919921875,-41.17190933227539,278.2791748046875,-31.44890022277832,29481.298828125,-30843.794921875,0
14.0,-6425.8349609375,-312.9467468261719,-3123.1640625,-745.72119140625,-454.3662109375,-1096.3529052734375,28805.115234375,-30858.880859375,0
15.0,-6490.2080078125,-4872.76904296875,-6422.01318359375,-1410.1043701171875,-1266.606201171875,-4148.3046875,27914.353515625,-30877.5234375,0
16.0,-6437.36865234375,-4481.36767578125,-6060.58544921875,-843.3535766601562,-702.33642578125,-3766.425048828125,28394.19921875,-30870.548828125,0
17.0,-6362.1328125,245.35507202148438,-2588.935302734375,-43.51884078979492,243.81280517578125,-551.3280639648438,29401.234375,-30855.998046875,0
