1-31,CP3,C3,F5,PO3,PO4,F6,C4,CP4,Marker
0.0,453821.71875,441489.3125,442879.5,366705.96875,413549.4375,445914.84375,463154.34375,456633.75,0
1.0,137084.546875,128885.4375,132568.984375,107411.4765625,130305.3984375,137434.640625,150298.984375,138569.484375,0
2.0,138477.359375,131878.109375,133445.390625,120799.9921875,126257.28125,132539.40625,136428.8125,139274.4375,0
3.0,502215.75,494926.5625,495286.875,455509.03125,474827.71875,493654.75,498838.65625,503887.09375,0
4.0,505977.28125,495410.78125,495999.78125,419700.71875,465200.53125,498035.25,512636.59375,508598.875,0
5.0,222960.84375,212111.703125,215796.1875,174239.046875,206497.640625,220981.90625,237218.328125,225025.671875,0
6.0,74818.9453125,69711.6875,71619.609375,63469.4453125,69399.40625,72294.71875,76779.5703125,75433.2421875,0
7.0,425643.84375,417356.9375,418149.625,385453.0,399690.71875,415897.15625,420505.0625,427157.40625,0
8.0,539763.5,531325.3125,531432.375,463071.125,502780.5625,532465.5,543707.3125,542093.9375,0
9.0,309779.25,297001.8125,300321.65625,243185.5625,283112.40625,305191.53125,323567.8125,312332.84375,0
10.0,55174.046875,50180.77734375,52917.234375,45121.86328125,54412.23046875,55502.81640625,62161.8046875,55867.26171875,0
11.0,322256.8125,313582.15625,314709.5625,287017.28125,298524.5625,312312.71875,316658.96875,323560.375,0
12.0,552183.9375,545165.375,545120.5,486880.28125,519705.6875,545100.75,553267.5625,554199.6875,0
13.0,397331.78125,384299.65625,386508.0,315936.59375,361221.46875,390393.65625,408812.5,400111.03125,0
14.0,84964.5390625,78542.859375,81985.9453125,67160.703125,83153.2421875,86144.640625,96155.25,86014.5546875,0
15.0,212262.578125,204410.609375,205802.28125,186561.984375,194203.9375,204001.515625,208006.515625,213286.78125,0
16.0,536795.75,530056.5625,530155.3125,482481.875,507895.0,529177.875,535230.25,538585.875,0
17.0,465954.90625,453953.875,455169.59375,378411.28125,425225.6875,457995.09375,474725.84375,468724.8125,0
18.0,151148.109375,142181.015625,146122.796875,118201.734375,142999.890625,151244.140625,165038.59375,152747.84375,0
19.0,119750.7734375,113470.71875,115147.296875,103317.75,109097.578125,114575.3203125,118559.203125,120490.1953125,0
20.0,487641.625,480097.375,480540.28125,440872.9375,460152.46875,478672.78125,483679.46875,489277.96875,0
21.0,515476.4375,505470.125,505920.9375,431097.5625,475364.15625,507681.40625,521444.4375,518030.71875,0
22.0,239236.28125,227713.375,231527.875,186751.546875,220778.921875,236764.484375,253774.53125,241423.953125,0
23.0,65275.9140625,60310.609375,62432.70703125,54900.86328125,61369.27734375,63560.91015625,68444.875,65880.890625,0
24.0,403420.0625,394941.46875,395806.46875,363104.90625,377520.3125,393442.59375,398025.34375,404903.0625,0
25.0,544659.5,536621.0,536641.6875,470169.125,508595.5,537415.625,547914.125,546899.125,0
26.0,331140.75,318197.75,321220.9375,260313.28125,301866.71875,325869.875,344425.21875,333747.65625,0
27.0,58135.33984375,52957.33203125,55840.640625,46971.58203125,57550.08203125,58822.453125,66149.4453125,58880.1875,0
28.0,296637.5,288102.5,289298.09375,263953.5,274199.40625,286997.25,291249.75,297884.71875,0
29.0,551049.8125,544184.0,544152.0,488355.09375,519479.03125,543930.75,551565.0625,553010.375,0
30.0,414414.5,401453.125,403427.4375,330562.6875,376661.0,407073.78125,425271.21875,417219.90625,0
31.0,97786.3671875,90850.171875,94416.4375,76914.5546875,94836.4765625,98835.578125,109680.625,98946.7578125,0
0.0,188427.734375,180920.96875,182361.578125,165195.515625,172068.9375,180788.0625,184741.375,189385.6875,0
1.0,528527.0,521669.0625,521822.28125,476357.96875,500087.875,520643.3125,526400.8125,530285.125,0
2.0,478464.59375,466822.0625,467824.59375,390599.5,437312.0,470421.4375,486587.53125,481205.9375,0
3.0,170006.71875,160470.734375,164393.859375,132821.578125,159791.859375,169607.46875,184207.609375,171748.953125,0
4.0,103190.546875,97316.9140625,99058.2734375,88568.953125,94264.4921875,98845.9765625,102917.09375,103883.5625,0
5.0,471021.53125,463221.78125,463761.1875,425439.46875,443739.84375,461740.875,466640.53125,472629.625,0
6.0,523605.03125,514057.21875,514367.90625,440948.53125,484202.375,515919.5625,528971.375,526092.25,0
7.0,260553.734375,248571.78125,252241.234375,203563.84375,239551.234375,257403.625,274931.71875,262862.125,0
8.0,59314.234375,54473.453125,56736.36328125,49505.59765625,56602.9921875,58299.5546875,63601.546875,59923.8359375,0
9.0,380156.65625,371583.96875,372523.96875,341695.9375,354941.28125,370138.6875,374644.53125,381590.84375,0
10.0,548046.5625,540323.5,540310.0625,475953.03125,512910.03125,540872.5625,550700.5,550226.875,0
11.0,352122.6875,339020.4375,341791.9375,277329.0,320358.625,346220.28125,364822.59375,354803.46875,0
12.0,64017.15234375,58576.09375,61583.71875,51181.98046875,63255.47265625,64918.2421875,72952.53125,64839.453125,0
13.0,271072.625,262669.59375,263914.8125,240308.828125,249755.96875,261720.03125,265894.28125,272259.03125,0
14.0,548595.9375,541827.0625,541814.5,488226.5625,517823.375,541376.6875,548491.25,550504.625,0
15.0,430075.3125,417304.71875,419042.375,344351.4375,391033.09375,422452.8125,440346.6875,432894.25,0
16.0,111123.921875,103637.7421875,107354.140625,87143.4921875,107046.828125,112015.953125,123756.5234375,112410.578125,0
17.0,165920.3125,158747.140625,160254.671875,144472.15625,151102.109375,158950.453125,162881.703125,166804.4375,0
18.0,518559.125,511499.6875,511731.6875,467408.03125,490233.375,510331.5,515839.8125,520285.71875,0
19.0,490433.9375,479214.71875,480039.5,402848.28125,449159.78125,482376.90625,497909.9375,493140.09375,0
20.0,189361.9375,179190.34375,183138.140625,147709.65625,176828.921875,188408.546875,203791.96875,191230.03125,0
21.0,88954.921875,83440.0390625,85272.71875,76198.40625,81764.5234375,85452.6953125,89656.390625,89604.421875,0
22.0,452665.40625,444657.75,445292.375,409731.625,425988.5,443186.28125,447968.9375,454241.34375,0
23.0,530605.875,521472.40625,521679.25,449775.34375,491884.40625,523027.59375,535401.125,533039.0625,0
24.0,284117.5625,271793.1875,275211.28125,222193.390625,260156.703125,280160.09375,298043.25,286545.875,0
25.0,56868.8671875,52103.71875,54459.1015625,46920.62109375,54860.09375,56395.12109375,62146.8515625,57500.79296875,0
26.0,356052.1875,347433.375,348453.875,320136.25,331735.875,346070.0625,350490.15625,357440.28125,0
27.0,550249.4375,542813.75,542769.6875,480916.3125,516113.21875,543116.8125,552310.3125,552378.0,0
28.0,370308.53125,357160.34375,359708.09375,292451.96875,336665.4375,363921.03125,382551.40625,373049.125,0
29.0,70752.046875,64934.26953125,68163.71875,56220.17578125,69852.8359375,71874.015625,80697.6796875,71654.2734375,0
30.0,245418.03125,237216.234375,238508.125,216444.8125,225276.796875,236444.4375,240559.8125,246536.71875,0
31.0,544555.0625,537823.0,537835.25,486311.90625,514446.28125,537161.4375,543816.5,546424.1875,0
0.0,445625.5,433131.375,434626.4375,358584.71875,405543.21875,437785.0625,455272.53125,448465.625,0
1.0,127174.9921875,119119.515625,122926.578125,99505.0625,121494.2109375,127778.9609375,140387.6875,128608.5,0
2.0,144900.3125,138134.296875,139698.90625,126113.7109375,131995.265625,138704.40625,142614.59375,145720.125,0
3.0,506507.75,499252.71875,499568.9375,458050.625,478715.84375,498000.4375,503300.375,508202.4375,0
4.0,501064.34375,490284.9375,490936.125,414128.375,459967.40625,493033.125,507940.375,503720.40625,0
5.0,211310.53125,200594.703125,204444.203125,164788.8125,196158.125,209658.21875,225726.53125,213312.0,0
6.0,77448.1171875,72238.859375,74148.4609375,65741.2109375,71645.21875,74685.7734375,79108.0,78063.546875,0
7.0,432616.71875,424369.9375,425092.84375,390296.21875,406108.4375,422843.15625,427565.84375,434150.59375,0
8.0,536850.25,528171.1875,528287.0625,458255.9375,499056.5,529392.0625,540999.5,539209.1875,0
9.0,300862.96875,288139.9375,291529.5625,235498.078125,274940.15625,296434.25,314720.09375,303355.09375,0
10.0,54533.734375,49552.3359375,52234.4765625,44563.828125,53460.71875,54654.16796875,61065.046875,55195.83984375,0
11.0,330861.15625,322124.90625,323215.96875,294147.40625,306470.40625,320793.34375,325219.25,332209.03125,0
12.0,551565.6875,544392.1875,544322.0,484089.71875,518220.5625,544389.5625,552890.5,553633.0,0
13.0,387845.0625,374751.40625,377079.09375,307249.3125,352360.0,381063.4375,399612.0625,390636.4375,0
14.0,79047.1796875,72768.265625,76243.671875,62469.5859375,77763.40625,80302.25,90011.578125,80054.078125,0
15.0,220443.109375,212490.15625,213837.4375,193441.3125,201694.8125,211945.34375,216021.03125,221492.328125,0
16.0,538820.125,532035.0,532090.6875,482341.1875,509227.5625,531180.5,537464.875,540632.8125,0
17.0,459396.5,447184.1875,448471.4375,371451.0,418557.03125,451387.40625,468396.03125,462180.40625,0
18.0,143299.90625,134561.125,138503.4375,111844.765625,135911.546875,143546.59375,157014.703125,144833.1875,0
19.0,125532.609375,119128.5,120773.96875,108256.9765625,114223.6171875,120088.0625,124052.7734375,126293.7578125,0
20.0,492502.125,484982.09375,485373.40625,444138.40625,464592.34375,483581.78125,488731.0,494170.0625,0
21.0,510635.875,500385.0,500841.125,425035.1875,470037.40625,502718.78125,516876.625,513231.96875,0
22.0,229177.1875,217853.3125,221718.84375,178632.640625,211900.078125,227001.3125,243789.203125,231307.875,0
23.0,67503.21875,62470.99609375,64555.67578125,56819.24609375,63145.03515625,65531.328125,70283.1953125,68107.2578125,0
24.0,410978.9375,402494.09375,403312.90625,368921.34375,384468.25,400946.875,405624.96875,412486.46875,0
25.0,542235.875,533986.875,534017.25,465791.15625,505346.21875,534866.9375,545731.25,544535.875,0
26.0,321632.40625,308722.40625,311875.40625,252039.0,293184.8125,316569.125,335095.875,324226.5625,0
27.0,56134.54296875,51015.8828125,53874.44921875,45385.32421875,55509.9921875,56690.03125,63769.25,56855.25390625,0
28.0,305256.25,296617.125,297767.71875,271031.46875,282110.125,295421.71875,299762.59375,306541.34375,0
29.0,551030.125,544024.9375,543959.9375,486151.65625,518631.40625,543812.0625,551753.0625,553037.1875,0
30.0,406042.0625,393001.03125,395063.5,322683.21875,368740.25,398800.75,417158.75,408855.5,0
31.0,91380.78125,84645.890625,88225.296875,71805.3515625,89037.1328125,92560.21875,103071.9921875,92492.7578125,0
0.0,196222.296875,188584.96875,189990.515625,171621.28125,179105.171875,188329.421875,192322.640625,197198.953125,0
1.0,531229.5625,524347.3125,524455.5,476849.75,502165.3125,523338.28125,529300.0,533015.25,0
2.0,472778.625,460956.8125,462008.03125,384355.9375,431475.15625,464675.0625,481152.96875,475565.3125,0
3.0,162347.671875,153069.3125,156996.265625,126571.3671875,152878.8125,162116.265625,176400.703125,164032.765625,0
4.0,108457.8671875,102480.1015625,104178.875,93356.5625,98997.046875,103836.5625,107856.7890625,109165.3671875,0
5.0,476623.03125,468893.25,469383.09375,430627.0625,449239.90625,467454.125,472449.40625,478258.59375,0
6.0,519579.96875,509737.125,510098.6875,435054.71875,479353.53125,511734.15625,525200.875,522122.03125,0
7.0,253498.921875,241732.609375,245400.53125,197438.015625,233083.359375,250496.734375,267778.8125,255761.96875,0
8.0,61376.5859375,56562.01953125,58722.40625,51279.34375,58151.4296875,60088.0546875,65179.7578125,61975.5234375,0
9.0,388170.09375,379613.90625,380504.28125,349595.5,362796.65625,378125.625,382700.46875,389630.03125,0
10.0,546102.375,538156.875,538143.0,471932.875,510079.90625,538797.625,549031.8125,548330.9375,0
11.0,345911.15625,332884.28125,335671.21875,271368.21875,314515.6875,340079.03125,358663.59375,348569.21875,0
12.0,62828.0625,57614.1171875,60476.03515625,50117.140625,61869.2421875,63608.921875,71301.8984375,63607.58203125,0
13.0,279773.90625,271332.65625,272532.96875,249630.640625,258321.0625,270309.75,274518.46875,280991.96875,0
14.0,548752.1875,541818.0,541792.5625,486656.125,517192.78125,541495.5625,549004.0625,550710.0,0
15.0,426359.1875,413429.875,415182.75,339600.125,387019.28125,418602.5,436654.375,429202.9375,0
16.0,112133.640625,105149.8359375,108484.359375,87598.8671875,107410.0,112833.2890625,123976.59375,113383.4140625,0
17.0,173660.828125,166422.421875,167845.796875,152315.875,158391.75,166423.96875,170326.984375,174573.71875,0
18.0,521778.3125,514719.0625,514918.21875,470114.0,493155.09375,513642.09375,519391.40625,523536.625,0
19.0,485987.3125,474425.65625,475308.15625,396338.15625,443989.15625,477720.34375,493701.0625,488741.0,0
20.0,190155.609375,180507.171875,184086.640625,148042.921875,177245.265625,189048.53125,203884.359375,191982.53125,0
21.0,94686.671875,89142.8125,90821.40625,81209.78125,86653.0546875,90779.2265625,94857.8671875,95346.5625,0
22.0,459091.3125,451131.34375,451713.5,415631.15625,432169.375,449645.84375,454537.25,460689.78125,0
23.0,527160.6875,517684.03125,517951.53125,443552.8125,487450.65625,519397.3125,532266.0,529646.6875,0
24.0,281707.0625,269589.03125,272909.46875,219547.0625,257745.46875,277742.875,295302.90625,284095.8125,0
25.0,59659.4375,55031.08203125,57187.98046875,49120.76953125,56912.31640625,58889.84375,64313.26953125,60278.55859375,0
26.0,364619.5625,355982.65625,356960.03125,328375.0625,339957.53125,354560.40625,359044.9375,366030.40625,0
27.0,548610.5,540908.1875,540905.75,476459.375,513441.59375,541383.375,551024.125,550780.8125,0
28.0,369057.625,355913.125,358430.90625,290287.03125,335097.34375,362551.25,381094.15625,371789.78125,0
29.0,73099.3828125,67703.046875,70570.796875,57794.16015625,71368.28125,73949.4375,82269.8515625,73973.3125,0
30.0,254493.09375,246237.65625,247489.375,226216.84375,234214.453125,245358.484375,249492.984375,255635.171875,0
31.0,545390.5,538529.125,538546.75,485397.5625,514574.03125,538014.5,545062.3125,547298.9375,0
0.0,442442.65625,429748.5,431260.90625,353907.6875,402007.75,434412.59375,452153.84375,445292.03125,0
1.0,129877.390625,122375.3828125,125728.8828125,101350.6875,123448.265625,130235.734375,142206.4375,131248.734375,0
2.0,152479.09375,145633.09375,147098.25,133137.015625,138875.59375,145941.671875,149807.9375,153320.96875,0
3.0,510711.5625,503489.125,503760.28125,460947.625,482522.28125,502275.4375,507756.71875,512429.875,0
4.0,497446.78125,486341.6875,487043.4375,408230.59375,455616.71875,489217.90625,504544.375,500125.03125,0
5.0,211872.515625,201574.046875,205120.53125,164852.1875,196431.640625,210101.453125,225684.484375,213803.78125,0
6.0,82812.1953125,77568.546875,79327.203125,70454.65625,76181.0390625,79655.3046875,83930.609375,83440.84375,0
7.0,439947.0625,431749.75,432437.875,397872.78125,413301.375,430241.34375,435038.15625,441516.9375,0
8.0,533868.625,524849.1875,525024.6875,452145.6875,494966.0625,526254.6875,538390.8125,536281.875,0
9.0,302791.5625,290343.84375,293497.96875,236182.25,276338.8125,298194.84375,316152.375,305264.09375,0
10.0,58474.4375,53845.94921875,56156.47265625,47607.19921875,56484.50390625,58271.9296875,64258.41796875,59121.31640625,0
11.0,339978.65625,331313.09375,332367.8125,305300.375,316044.5,329965.09375,334381.53125,341340.65625,0
12.0,550161.0625,542743.75,542712.3125,480509.09375,516009.28125,542954.5,551968.4375,552277.0,0
13.0,387620.03125,374463.75,376731.15625,305681.5,351748.3125,380626.3125,399138.0625,390394.375,0
14.0,83173.2265625,77407.4765625,80395.2578125,65404.05859375,80808.71875,84082.5625,93181.546875,84131.84375,0
15.0,229512.0,221473.953125,222783.8125,203153.9375,210509.421875,220819.5,224879.015625,230589.78125,0
16.0,540552.8125,533702.875,533757.375,483144.84375,510502.375,532996.6875,539584.25,542409.125,0
17.0,456615.78125,444144.96875,445478.03125,366864.15625,415262.75,448417.28125,465728.03125,459437.71875,0
18.0,146306.046875,138103.796875,141621.375,113881.703125,138165.015625,146330.65625,159191.046875,147792.796875,0
19.0,132792.75,126333.1171875,127860.3671875,115362.34375,120875.8984375,127008.8984375,130904.609375,133575.21875,0
20.0,497552.71875,490103.5,490455.71875,449718.40625,469684.78125,488768.15625,494049.09375,499238.28125,0
21.0,507257.15625,496632.46875,497174.875,419170.53125,465790.6875,499131.46875,513760.25,509894.71875,0
22.0,230540.96875,219610.484375,223209.484375,179338.59375,212927.359375,228238.828125,244567.640625,232628.53125,0
23.0,72358.0234375,67405.1875,69289.375,61141.55859375,67248.4765625,70031.203125,74566.3515625,72965.140625,0
24.0,418819.09375,410430.625,411200.875,378545.9375,392671.3125,408901.96875,413617.8125,420345.46875,0
25.0,539564.625,530985.125,531071.875,460593.34375,501708.875,532066.875,543445.5625,541917.625,0
26.0,322445.84375,309693.09375,312703.53125,251941.09375,293653.40625,317268.78125,335523.15625,325021.90625,0
27.0,59371.03125,54649.33984375,57148.5546875,47892.31640625,57965.95703125,59696.44921875,66296.5625,60063.37890625,0
28.0,314560.8125,305917.40625,307039.90625,281773.375,291560.75,304696.8125,309027.75,315858.875,0
29.0,550701.6875,543543.375,543484.375,484383.6875,517684.84375,543483.0,551808.625,552743.5625,0
30.0,404061.5,390932.90625,392996.25,319684.96875,366538.75,396711.53125,415116.96875,406861.53125,0
31.0,93115.1015625,86802.9921875,90037.796875,72934.15625,90165.7421875,94087.3984375,104100.5546875,94175.9765625,0
0.0,204936.390625,197196.75,198554.8125,180713.625,187478.96875,196798.703125,200796.609375,205943.09375,0
1.0,533838.9375,526947.8125,527041.3125,479207.03125,504533.65625,526039.6875,532213.625,535650.375,0
2.0,469466.5625,457381.34375,458502.5625,379400.34375,427645.625,461212.21875,477986.6875,472265.0,0
3.0,162695.15625,153814.703125,157490.125,126480.3671875,152852.453125,162395.625,176147.375,164326.40625,0
4.0,114984.890625,108876.6328125,110493.6640625,99343.1875,104753.3359375,109979.484375,113947.0078125,115709.2265625,0
5.0,482430.21875,474726.53125,475160.21875,436276.3125,454809.71875,473279.65625,478408.125,484081.65625,0
6.0,516259.3125,506132.09375,506508.40625,429456.25,475250.03125,508245.34375,522161.84375,518839.875,0
7.0,252205.5,240754.40625,244235.84375,196012.75,231824.53125,249207.65625,266124.5,254417.109375,0
8.0,65074.34765625,60341.38671875,62319.5859375,54397.41015625,61145.58203125,63474.0078125,68329.34375,65667.921875,0
9.0,396358.0,387825.03125,388660.0,357561.9375,370714.75,386292.28125,390938.46875,397832.0,0
10.0,543850.9375,535630.8125,535657.0,467109.59375,506870.71875,536440.875,547115.4375,546133.0,0
11.0,342565.09375,329580.46875,332386.53125,268019.65625,311326.34375,336753.6875,355163.5625,345210.75,0
12.0,63813.57421875,58846.0546875,61505.6015625,50851.59765625,62354.38671875,64397.7578125,71661.1171875,64566.46875,0
13.0,288907.3125,280351.125,281524.875,257810.984375,266857.59375,279239.15625,283508.21875,290143.875,0
14.0,549240.5625,542201.5625,542159.875,485016.34375,516919.0625,541929.0,549739.5,551235.875,0
15.0,420482.0625,407459.0,409312.9375,333660.625,381369.625,412767.5625,430972.84375,423324.1875,0
