1-31,CP3,C3,F5,PO3,PO4,F6,C4,CP4,Marker
17.0,10019.9951171875,-4186.1904296875,-3894.09814453125,682.6221923828125,3379.516357421875,-2500.0869140625,-5541.04150390625,-8161.69384765625,0
18.0,9782.4189453125,-902.8986206054688,-1344.3902587890625,562.459228515625,3243.863525390625,-733.31591796875,-2996.36279296875,-8223.18359375,0
19.0,9316.5859375,-7220.9091796875,-6468.28125,-373.6317138671875,2407.819091796875,-3097.6162109375,-6712.63037109375,-8323.3642578125,0
20.0,9454.5185546875,-11538.86328125,-9830.162109375,-498.2203369140625,2325.67626953125,-5258.60498046875,-9895.541015625,-8290.841796875,0
21.0,9964.2724609375,-6287.50048828125,-5674.4814453125,421.3079833984375,3164.06787109375,-3468.968017578125,-6934.91845703125,-8182.88330078125,0
22.0,9941.33984375,-675.1790771484375,-1240.119384765625,666.5289306640625,3359.600830078125,-835.5081176757812,-3026.872802734375,-8196.0263671875,0
23.0,9420.8564453125,-5095.3251953125,-4870.62353515625,-169.91793823242188,2604.089599609375,-2321.787109375,-5420.4091796875,-8311.763671875,0
24.0,9368.822265625,-11225.447265625,-9695.1123046875,-580.2958984375,2270.691162109375,-5110.41259765625,-9630.404296875,-8323.9677734375,0
25.0,9863.3544921875,-8340.7978515625,-7373.32568359375,148.59437561035156,2949.424072265625,-4333.779296875,-8244.8427734375,-8213.05859375,0
26.0,10035.1494140625,-1284.576904296875,-1802.712646484375,766.70947265625,3493.040771484375,-1242.3321533203125,-3568.67919921875,-8170.47802734375,0
27.0,9561.8740234375,-3069.385986328125,-3342.434814453125,133.84222412109375,2915.561279296875,-1592.9639892578125,-4220.4560546875,-8272.201171875,0
28.0,9323.42578125,-10154.306640625,-8943.9599609375,-551.3951416015625,2327.017578125,-4614.2041015625,-8852.3623046875,-8321.6875,0
29.0,9730.5849609375,-9987.0712890625,-8778.6015625,-72.28553009033203,2789.564453125,-5026.45947265625,-9260.3935546875,-8233.7783203125,0
30.0,10074.4443359375,-2686.366455078125,-3009.103271484375,729.1585083007812,3500.819091796875,-1982.08544921875,-4577.12255859375,-8154.25048828125,0
31.0,9713.150390625,-1553.6025390625,-2184.2568359375,358.27606201171875,3141.0009765625,-1092.7989501953125,-3366.105224609375,-8236.6611328125,0
0.0,9314.57421875,-8560.203125,-7771.365234375,-450.0746765136719,2433.769287109375,-3964.3720703125,-7794.63330078125,-8331.2763671875,0
1.0,9577.2294921875,-11090.46484375,-9742.1181640625,-229.06065368652344,2672.552978515625,-5493.83447265625,-9946.234375,-8272.7373046875,0
